Zeit [s],Leistung [kW],Leistung [W],Strom [A],Ladungsmenge[t],SOC [%],OCV,R,R1,C1,R2,C2
0.0,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
0.5,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
1.0,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
1.5,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
2.0,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
2.5,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
3.0,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
3.5,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
4.0,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
4.5,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
5.0,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
5.5,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
6.0,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
6.5,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
7.0,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
7.5,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
8.0,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
8.5,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
9.0,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
9.5,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
10.0,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
10.5,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
11.0,0.0,-0.0,-0.0,-0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
11.5,2.4,-2400.0,-53.333333333333336,-13.333333333333334,39.93386243386244,3.637765343915344,0.00178,0.0017208939417989418,11093.396413227514,0.0009202743386243385,8221.792457936508
12.0,9.5,-9500.0,-211.11111111111111,-79.44444444444444,39.605930335097,3.6361060074955907,0.00178,0.0017128314032186947,11019.2693954806,0.0009310554343033511,8191.835486871692
12.5,2.7,-2700.0,-60.0,-147.22222222222223,39.26973104056437,3.634404839065256,0.00178,0.0017045656073633156,10943.273629387126,0.0009421083223104057,8161.123298048941
13.0,5.8,-5800.0,-128.88888888888889,-194.44444444444446,39.035493827160494,3.633219598765432,0.00178,0.001698806651234568,10890.325759567902,0.0009498091049382716,8139.725461574073
13.5,5.4,-5400.0,-120.0,-256.6666666666667,38.726851851851855,3.63165787037037,0.00178,0.0016912183796296296,10820.559154629631,0.0009599560185185184,8111.530665277778
14.0,9.7,-9700.0,-215.55555555555554,-340.55555555555554,38.310736331569665,3.629552325837743,0.00178,0.0016809877634479716,10726.498821186067,0.0009736362323633158,8073.518038128306
14.5,9.5,-9500.0,-211.11111111111111,-447.2222222222222,37.78163580246914,3.626875077160494,0.00178,0.0016679792978395063,10606.898927006174,0.0009910309413580245,8025.184101620371
15.0,5.4,-5400.0,-120.0,-530.0,37.37103174603175,3.6247974206349207,0.00178,0.0016578841865079364,10514.084425793651,0.0010045299603174602,7987.67495297619
15.5,0.4,-400.0,-8.88888888888889,-562.2222222222222,37.211199294532626,3.623988668430335,0.00178,0.0016539545458553791,10477.955291093474,0.0010097846119929456,7973.074076322751
16.0,1.2,-1200.0,-26.666666666666668,-571.1111111111111,37.16710758377425,3.623765564373898,0.00178,0.0016528705070546737,10467.988633245152,0.0010112341710758377,7969.046248280423
16.5,1.0,-1000.0,-22.22222222222222,-583.3333333333333,37.10648148148148,3.6234587962962963,0.00178,0.0016513799537037036,10454.284478703705,0.0010132273148148148,7963.507984722222
