Zeit [s],Leistung [kW]
0.0,0.0
0.5,0.0
1.0,0.0
1.5,0.0
2.0,0.0
2.5,0.0
3.0,0.0
3.5,0.0
4.0,0.0
4.5,0.0
5.0,0.0
5.5,0.0
6.0,0.0
6.5,0.0
7.0,0.0
7.5,0.0
8.0,0.0
8.5,0.0
9.0,0.0
9.5,0.0
10.0,0.0
10.5,0.0
11.0,0.0
11.5,2.4
12.0,9.5
12.5,2.7
13.0,5.8
13.5,5.4
14.0,9.7
14.5,9.5
15.0,5.4
15.5,0.4
16.0,1.2
16.5,1.0
17.0,0.2
17.5,-0.2
18.0,-0.1
18.5,-0.1
19.0,-0.1
19.5,-0.1
20.0,-0.1
20.5,-0.1
21.0,-0.1
21.5,-0.1
22.0,-0.1
22.5,1.3
23.0,3.9
23.5,0.9
24.0,-0.4
24.5,-0.5
25.0,-2.4
25.5,-3.4
26.0,-1.1
26.5,0.0
27.0,0.0
27.5,0.0
28.0,0.0
28.5,0.0
29.0,0.0
29.5,0.0
30.0,0.0
30.5,0.0
31.0,0.0
31.5,0.0
32.0,0.0
32.5,0.0
33.0,0.0
33.5,0.0
34.0,0.0
34.5,0.0
35.0,0.0
35.5,0.0
36.0,0.0
36.5,0.0
37.0,0.0
37.5,0.0
38.0,0.0
38.5,0.0
39.0,0.0
39.5,0.0
40.0,0.0
40.5,0.0
41.0,0.0
41.5,0.0
42.0,0.0
42.5,0.0
43.0,0.0
43.5,0.0
44.0,0.0
44.5,0.0
45.0,0.0
45.5,0.0
46.0,0.0
46.5,0.0
47.0,0.0
47.5,0.0
48.0,0.0
48.5,0.0
49.0,0.0
49.5,0.0
50.0,9.9
50.5,3.8
51.0,1.0
51.5,3.9
52.0,3.2
52.5,2.1
53.0,3.0
53.5,7.0
54.0,6.8
54.5,6.5
55.0,7.0
55.5,7.2
56.0,-0.1
56.5,0.5
57.0,9.7
57.5,6.6
58.0,5.8
58.5,6.1
59.0,6.4
59.5,6.6
60.0,6.7
60.5,5.3
61.0,4.3
61.5,0.7
62.0,0.0
62.5,1.7
63.0,0.9
63.5,-0.2
64.0,-0.2
64.5,-0.3
65.0,-0.1
65.5,0.0
66.0,0.0
66.5,0.1
67.0,0.3
67.5,0.3
68.0,0.3
68.5,0.3
69.0,0.3
69.5,0.3
70.0,0.3
70.5,0.3
71.0,0.3
71.5,0.3
72.0,0.3
72.5,0.3
73.0,0.3
73.5,0.3
74.0,0.3
74.5,0.3
75.0,0.3
75.5,0.3
76.0,0.3
76.5,0.3
77.0,0.3
77.5,0.3
78.0,0.3
78.5,0.3
79.0,0.3
79.5,0.3
80.0,0.3
80.5,0.3
81.0,0.3
81.5,0.3
82.0,0.3
82.5,0.3
83.0,0.3
83.5,0.1
84.0,0.1
84.5,-0.4
85.0,1.7
85.5,-2.7
86.0,-4.0
86.5,-6.8
87.0,-1.2
87.5,-4.2
88.0,-0.7
88.5,0.0
89.0,-2.7
89.5,-2.9
90.0,-2.6
90.5,-2.9
91.0,0.0
91.5,1.5
92.0,-1.8
92.5,-1.7
93.0,-1.1
93.5,-1.8
94.0,-2.1
94.5,-3.0
95.0,0.0
95.5,0.0
96.0,0.0
96.5,0.0
97.0,0.0
97.5,0.0
98.0,0.0
98.5,0.0
99.0,0.0
99.5,0.0
100.0,0.0
100.5,0.0
101.0,0.0
101.5,0.0
102.0,0.0
102.5,0.0
103.0,0.0
103.5,0.0
104.0,0.0
104.5,0.0
105.0,0.0
105.5,0.0
106.0,0.0
106.5,0.0
107.0,0.0
107.5,0.0
108.0,0.0
108.5,0.0
109.0,0.0
109.5,0.0
110.0,0.0
110.5,0.0
111.0,0.0
111.5,0.0
112.0,0.0
112.5,0.0
113.0,0.0
113.5,0.0
114.0,0.0
114.5,0.0
115.0,0.0
115.5,0.0
116.0,0.1
116.5,0.0
117.0,0.0
117.5,0.0
118.0,9.9
118.5,2.9
119.0,1.2
119.5,3.2
120.0,2.9
120.5,1.8
121.0,2.3
121.5,3.7
122.0,5.7
122.5,3.1
123.0,2.6
123.5,2.3
124.0,2.3
124.5,0.0
125.0,2.4
125.5,1.6
126.0,2.2
126.5,2.2
127.0,2.7
127.5,4.9
128.0,3.2
128.5,1.5
129.0,1.6
129.5,1.7
130.0,1.7
130.5,1.8
131.0,1.8
131.5,2.7
132.0,3.4
132.5,1.0
133.0,0.0
133.5,5.8
134.0,5.5
134.5,4.7
135.0,4.2
135.5,4.1
136.0,4.2
136.5,4.2
137.0,4.0
137.5,3.9
138.0,3.7
138.5,3.6
139.0,3.3
139.5,2.8
140.0,2.0
140.5,1.9
141.0,2.0
141.5,2.1
142.0,2.1
142.5,1.7
143.0,0.6
143.5,0.6
144.0,0.0
144.5,-1.4
145.0,0.7
145.5,0.5
146.0,0.6
146.5,0.8
147.0,0.9
147.5,0.8
148.0,0.8
148.5,0.9
149.0,0.8
149.5,0.8
150.0,0.8
150.5,0.8
151.0,0.8
151.5,0.8
152.0,0.8
152.5,0.8
153.0,0.8
153.5,0.8
154.0,0.8
154.5,0.6
155.0,-1.5
155.5,-1.6
156.0,-4.3
156.5,-4.6
157.0,-4.4
157.5,-4.2
158.0,-4.1
158.5,-4.0
159.0,-3.9
159.5,-3.9
160.0,-3.8
160.5,-4.2
161.0,0.0
161.5,0.0
162.0,0.1
162.5,-0.2
163.0,0.6
163.5,-0.3
164.0,0.9
164.5,0.8
165.0,0.6
165.5,0.5
166.0,0.4
166.5,0.0
167.0,0.0
167.5,0.0
168.0,-0.1
168.5,-0.1
169.0,-0.1
169.5,-0.1
170.0,-0.1
170.5,-0.1
171.0,-0.1
171.5,-0.1
172.0,-0.1
172.5,-0.1
