Zeit [s],Leistung [kW],Leistung [W],Strom [A],Ladungsmenge[t],SOC [%],OCV,R,R1,C1,R2,C2
0.0,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
0.5,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
1.0,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
1.5,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
2.0,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
2.5,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
3.0,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
3.5,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
4.0,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
4.5,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
5.0,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
5.5,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
6.0,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
6.5,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
7.0,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
7.5,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
8.0,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
8.5,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
9.0,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
9.5,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
10.0,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
10.5,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
11.0,0.0,-0.0,-0.0,0.0,40.0,3.6381,0.00178,0.00172252,11108.3464,0.0009181,8227.8342
11.5,2.4,-2400.0,-53.333333333333336,-26.666666666666664,39.86772486772487,3.6374306878306877,0.00178,0.0017192678835978837,11078.446426455028,0.0009224486772486773,8215.750715873015
12.0,9.5,-9500.0,-211.11111111111111,-132.22222222222223,39.34413580246913,3.6347813271604936,0.00178,0.0017063949228395062,10960.092364506174,0.0009396621913580248,8167.92025787037
12.5,2.7,-2700.0,-60.0,-162.22222222222223,39.195326278659614,3.6340283509700178,0.00178,0.0017027362918871252,10926.454894268078,0.0009445544532627865,8154.326338227513
13.0,5.8,-5800.0,-128.88888888888889,-226.66666666666663,38.87566137566137,3.6324108465608465,0.00178,0.0016948770105820105,10854.196624867725,0.0009550637566137567,8125.124584920633
13.5,5.4,-5400.0,-120.0,-286.66666666666663,38.57804232804233,3.6309048941798943,0.00178,0.0016875597486772486,10786.921684391535,0.0009648482804232804,8097.93674563492
14.0,9.7,-9700.0,-215.55555555555557,-394.4444444444444,38.043430335097,3.6281997574955906,0.00178,0.0016744157782186948,10666.0759579806,0.000982424184303351,8049.099330621693
14.5,9.5,-9500.0,-211.11111111111111,-500.0,37.51984126984127,3.625550396825397,0.00178,0.0016615428174603175,10547.721896031748,0.0009996376984126984,8001.268872619047
15.0,5.4,-5400.0,-120.0,-560.0,37.22222222222222,3.6240444444444444,0.00178,0.0016542255555555554,10480.446955555555,0.0010094222222222222,7974.081033333333
15.5,0.4,-400.0,-8.88888888888889,-564.4444444444445,37.20017636684303,3.623932892416226,0.00178,0.0016536835361552027,10475.463626631394,0.0010101470017636685,7972.067119312168
16.0,1.2,-1200.0,-26.666666666666668,-577.7777777777778,37.13403880070547,3.6235982363315697,0.00178,0.0016520574779541445,10460.513639858906,0.0010123213403880071,7966.025377248677
16.5,1.0,-1000.0,-22.22222222222222,-588.8888888888889,37.07892416225749,3.623319356261023,0.00178,0.0016507024294532627,10448.0553175485,0.0010141332892416228,7960.990592195767
