Zeit [s],Leistung [kW],Leistung [W],Current [A],Charge [C],SOC [%],U_R1 [V],I_R1 [A],U_R2 [V],I_R2 [A],Q_Irrev [W],Q_Sum_Cell [W],U_ges [V],Temperatur [K],Output Temperature [K],OCV [V],R [Ohm],R1 [Ohm],R2 [Ohm],C1 [C],C2 [C],U_R [V],Q_Irreversibel [W],Delta OCV [V],Q_Reversibel [W],Q_Cell [W]
0.0,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.800000000000004,313.15,313.15,,,,,,,,,,,
0.5,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
1.0,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
1.5,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
2.0,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
2.5,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
3.0,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
3.5,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
4.0,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
4.5,0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,46.637499999999996,313.15,313.15,3.5875,0.0013081,0.000877257,0.001085071,6735.832571,11986.68714,-0.0,0.0,-0.000145,0.0,0.0
