Zeit [s],Leistung [kW],Leistung [W],Current [A],Charge [C],SOC [%],U_R1 [V],U_R [V],I_R1 [A],U_R2 [V],I_R2 [A],Q_Irreversibel [W],Q_Sum_Cell [W],U_ges [V],Temperatur [K],Output Temperature [K],OCV [V],R [Ohm],R1 [Ohm],R2 [Ohm],C1 [C],C2 [C]
0.0,0.0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0,46.800000000000004,293.15,293.15,,,,,,
0.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
1.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
1.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
2.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
2.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
3.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
3.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
4.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
4.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0,0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511
