Zeit [s],Leistung [kW],Leistung [W],Current [A],Charge [C],SOC [%],U_R1 [V],U_R [V],I_R1 [A],U_R2 [V],I_R2 [A],Q_Irreversibel [W],Q_Sum_Cell [W],U_ges [V],Temperatur [K],Output Temperature [K],OCV [V],R [Ohm],R1 [Ohm],R2 [Ohm],C1 [C],C2 [C],Delta OCV [V],Q_Reversibel [W],Q_Cell [W]
0.0,0.0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.800000000000004,293.15,293.15,,,,,,,,,
0.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
1.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
1.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
2.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
2.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
3.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
3.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
4.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
4.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
5.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
5.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
6.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
6.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
7.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
7.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
8.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
8.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
9.0,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
9.5,0.0,0,0.0,0.0,50.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.107800000000005,293.15,293.15,3.7006,0.0021952756666666663,0.0013382266666666666,0.0013013399999999998,8609.705022333334,9339.024511,5e-05,-0.0,0.0
