Batterie Ladung [C],Zeit [s]
0.0,0.0
0.0,0.5
0.0,1.0
0.0,1.5
0.0,2.0
0.0,2.5
0.0,3.0
0.0,3.5
0.0,4.0
0.0,4.5
0.0,5.0
0.0,5.5
0.0,6.0
0.0,6.5
0.0,7.0
0.0,7.5
0.0,8.0
0.0,8.5
0.0,9.0
0.0,9.5
0.0,10.0
0.0,10.5
0.0,11.0
0.0,11.5
-24.943979978298735,12.0
-126.87171402864746,12.5
-159.10884940312977,13.0
-222.45528268454237,13.5
-284.0484492476273,14.0
-394.852499714217,14.5
-511.5770889799646,15.0
-578.9071497529521,15.5
-583.5886177010732,16.0
-596.5776653054133,16.5
-607.5046101750966,17.0
-609.6835478931381,17.5
-607.5292948092504,18.0
-606.4590312578576,18.5
-605.388704592657,19.0
-604.3196084833157,19.5
-603.2516869299624,20.0
-602.1848881750655,20.5
-601.1191628884026,21.0
-600.0544640462315,21.5
-598.9907468151931,22.0
-597.9279684426244,22.5
-611.7324122092017,23.0
-653.8769826208021,23.5
-663.9600081063772,24.0
-659.64741033235,24.5
-654.3516611811482,25.0
-628.989226741597,25.5
-593.9501646573324,26.0
-582.7675555247281,26.5
-582.7675555247281,27.0
-582.7675555247281,27.5
-582.7675555247281,28.0
-582.7675555247281,28.5
-582.7675555247281,29.0
-582.7675555247281,29.5
-582.7675555247281,30.0
-582.7675555247281,30.5
-582.7675555247281,31.0
-582.7675555247281,31.5
-582.7675555247281,32.0
-582.7675555247281,32.5
-582.7675555247281,33.0
-582.7675555247281,33.5
-582.7675555247281,34.0
-582.7675555247281,34.5
-582.7675555247281,35.0
-582.7675555247281,35.5
-582.7675555247281,36.0
-582.7675555247281,36.5
-582.7675555247281,37.0
-582.7675555247281,37.5
-582.7675555247281,38.0
-582.7675555247281,38.5
-582.7675555247281,39.0
-582.7675555247281,39.5
-582.7675555247281,40.0
-582.7675555247281,40.5
-582.7675555247281,41.0
-582.7675555247281,41.5
-582.7675555247281,42.0
-582.7675555247281,42.5
-582.7675555247281,43.0
-582.7675555247281,43.5
-582.7675555247281,44.0
-582.7675555247281,44.5
-582.7675555247281,45.0
-582.7675555247281,45.5
-582.7675555247281,46.0
-582.7675555247281,46.5
-582.7675555247281,47.0
-582.7675555247281,47.5
-582.7675555247281,48.0
-582.7675555247281,48.5
-582.7675555247281,49.0
-582.7675555247281,49.5
-582.7675555247281,50.0
-686.3299860924575,50.5
-731.77469006411,51.0
-742.9168697547799,51.5
-784.6608076161878,52.0
-820.2580763128797,52.5
-843.4928476892574,53.0
-876.2362298820167,53.5
-953.6305339463031,54.0
-1033.4326935959007,54.5
-1110.2981662197876,55.0
-1193.1127088904952,55.5
-1279.3188967793012,56.0
-1278.1110939332725,56.5
-1283.5390587611644,57.0
-1389.5188060934927,57.5
-1471.4926715982372,58.0
-1541.5975615405407,58.5
-1614.4574391221477,59.0
-1691.387538498746,59.5
-1771.3661781922688,60.0
-1853.1155393068057,60.5
-1918.121037986206,61.0
-1969.8916168697012,61.5
-1978.195713563639,62.0
-1978.195713563639,62.5
-1997.1303471439517,63.0
-2007.3540450386106,63.5
-2005.107449229144,64.0
-2002.8963026108956,64.5
-1999.5868842384273,65.0
-1998.4874589729689,65.5
-1998.4874589729689,66.0
-1998.4874589729689,66.5
-1999.584883038968,67.0
-2002.8760470056125,67.5
-2006.1706956600538,68.0
-2009.4613719795323,68.5
-2012.7482593674686,69.0
-2016.031555536642,69.5
-2019.3114464244136,70.0
-2022.5880896774158,70.5
-2025.8616503248975,71.0
-2029.1322836758536,71.5
-2032.400135910736,72.0
-2035.6653446873945,72.5
-2038.9280397034947,73.0
-2042.1883432185837,73.5
-2045.446370538904,74.0
-2048.7022304678053,74.5
-2051.9560257243693,75.0
-2055.2078533326467,75.5
-2058.457804983722,76.0
-2061.705967372629,76.5
-2064.9524225119912,77.0
-2068.197248024106,77.5
-2071.4405174130584,78.0
-2074.6823003183204,78.5
-2077.922662751191,79.0
-2081.161667315311,79.5
-2084.399373412403,80.0
-2087.6358374342944,80.5
-2090.871112942206,81.0
-2094.105250834199,81.5
-2097.338299501631,82.0
-2100.5703049753824,82.5
-2103.801311062576,83.0
-2107.031359474449,83.5
-2108.107736298297,84.0
-2109.181223852454,84.5
-2104.8890063851054,85.0
-2123.0149084699465,85.5
-2093.5103238447064,86.0
-2052.025433339553,86.5
-1982.5608420857575,87.0
-1970.6910353927642,87.5
-1926.7185326666843,88.0
-1919.643434933726,88.5
-1919.643434933726,89.0
-1891.118037430528,89.5
-1861.4102939920692,90.0
-1834.8541017763037,90.5
-1805.1842195631289,91.0
-1805.1842195631289,91.5
-1820.929767218313,92.0
-1801.6963584086077,92.5
-1784.1910761461932,93.0
-1772.8539779870737,93.5
-1754.1937059654492,94.0
-1732.6037250100107,94.5
-1701.8841835307828,95.0
-1701.8841835307828,95.5
-1701.8841835307828,96.0
-1701.8841835307828,96.5
-1701.8841835307828,97.0
-1701.8841835307828,97.5
-1701.8841835307828,98.0
-1701.8841835307828,98.5
-1701.8841835307828,99.0
-1701.8841835307828,99.5
-1701.8841835307828,100.0
-1701.8841835307828,100.5
-1701.8841835307828,101.0
-1701.8841835307828,101.5
-1701.8841835307828,102.0
-1701.8841835307828,102.5
-1701.8841835307828,103.0
-1701.8841835307828,103.5
-1701.8841835307828,104.0
-1701.8841835307828,104.5
-1701.8841835307828,105.0
-1701.8841835307828,105.5
-1701.8841835307828,106.0
-1701.8841835307828,106.5
-1701.8841835307828,107.0
-1701.8841835307828,107.5
-1701.8841835307828,108.0
-1701.8841835307828,108.5
-1701.8841835307828,109.0
-1701.8841835307828,109.5
-1701.8841835307828,110.0
-1701.8841835307828,110.5
-1701.8841835307828,111.0
-1701.8841835307828,111.5
-1701.8841835307828,112.0
-1701.8841835307828,112.5
-1701.8841835307828,113.0
-1701.8841835307828,113.5
-1701.8841835307828,114.0
-1701.8841835307828,114.5
-1701.8841835307828,115.0
-1701.8841835307828,115.5
-1701.8841835307828,116.0
-1702.9373655502075,116.5
