Time,Charge
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,0
9,0
9.5,0
10,0
10.5,0
11,0
11.5,0
12,-25.64102564
12.5,-127.1367521
13,-155.982906
13.5,-217.9487179
14,-275.6410256
14.5,-379.2735043
15,-480.7692308
15.5,-538.4615385
16,-542.7350427
16.5,-555.5555556
17,-566.2393162
17.5,-568.3760684
18,-566.2393162
18.5,-565.1709402
19,-564.1025641
19.5,-563.034188
20,-561.965812
20.5,-560.8974359
21,-559.8290598
21.5,-558.7606838
22,-557.6923077
22.5,-556.6239316
23,-570.5128205
23.5,-612.1794872
24,-621.7948718
24.5,-617.5213675
25,-612.1794872
25.5,-586.5384615
26,-550.2136752
26.5,-538.4615385
27,-538.4615385
27.5,-538.4615385
28,-538.4615385
28.5,-538.4615385
29,-538.4615385
29.5,-538.4615385
30,-538.4615385
30.5,-538.4615385
31,-538.4615385
31.5,-538.4615385
32,-538.4615385
32.5,-538.4615385
33,-538.4615385
33.5,-538.4615385
34,-538.4615385
34.5,-538.4615385
35,-538.4615385
35.5,-538.4615385
36,-538.4615385
36.5,-538.4615385
37,-538.4615385
37.5,-538.4615385
38,-538.4615385
38.5,-538.4615385
39,-538.4615385
39.5,-538.4615385
40,-538.4615385
40.5,-538.4615385
41,-538.4615385
41.5,-538.4615385
42,-538.4615385
42.5,-538.4615385
43,-538.4615385
43.5,-538.4615385
44,-538.4615385
44.5,-538.4615385
45,-538.4615385
45.5,-538.4615385
46,-538.4615385
46.5,-538.4615385
47,-538.4615385
47.5,-538.4615385
48,-538.4615385
48.5,-538.4615385
49,-538.4615385
49.5,-538.4615385
50,-538.4615385
50.5,-644.2307692
51,-684.8290598
51.5,-695.5128205
52,-737.1794872
52.5,-771.3675214
53,-793.8034188
53.5,-825.8547009
54,-900.6410256
54.5,-973.2905983
55,-1042.735043
55.5,-1117.521368
56,-1194.444444
56.5,-1193.376068
57,-1198.717949
57.5,-1302.350427
58,-1372.863248
58.5,-1434.82906
59,-1500
59.5,-1568.376068
60,-1638.888889
60.5,-1710.470085
61,-1767.094017
61.5,-1813.034188
62,-1820.512821
62.5,-1820.512821
63,-1838.675214
63.5,-1848.290598
64,-1846.153846
64.5,-1844.017094
65,-1840.811966
65.5,-1839.74359
66,-1839.74359
66.5,-1839.74359
67,-1840.811966
67.5,-1844.017094
68,-1847.222222
68.5,-1850.42735
69,-1853.632479
69.5,-1856.837607
70,-1860.042735
70.5,-1863.247863
71,-1866.452991
71.5,-1869.65812
72,-1872.863248
72.5,-1876.068376
73,-1879.273504
73.5,-1882.478632
74,-1885.683761
74.5,-1888.888889
75,-1892.094017
75.5,-1895.299145
76,-1898.504274
76.5,-1901.709402
77,-1904.91453
77.5,-1908.119658
78,-1911.324786
78.5,-1914.529915
79,-1917.735043
79.5,-1920.940171
80,-1924.145299
80.5,-1927.350427
81,-1930.555556
81.5,-1933.760684
82,-1936.965812
82.5,-1940.17094
83,-1943.376068
83.5,-1946.581197
84,-1947.649573
84.5,-1948.717949
85,-1944.444444
85.5,-1962.606838
86,-1933.760684
86.5,-1891.025641
87,-1818.376068
87.5,-1805.555556
88,-1760.683761
88.5,-1753.205128
89,-1753.205128
89.5,-1724.358974
90,-1693.376068
90.5,-1665.598291
91,-1634.615385
91.5,-1634.615385
92,-1650.641026
92.5,-1631.410256
93,-1613.247863
93.5,-1601.495726
94,-1582.264957
94.5,-1559.82906
95,-1527.777778
95.5,-1527.777778
96,-1527.777778
96.5,-1527.777778
97,-1527.777778
97.5,-1527.777778
98,-1527.777778
98.5,-1527.777778
99,-1527.777778
99.5,-1527.777778
100,-1527.777778
100.5,-1527.777778
101,-1527.777778
101.5,-1527.777778
102,-1527.777778
