Time,Charge
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,0
9,0
9.5,0
10,0
10.5,0
11,0
11.5,0
12,-24.9439799782987
12.5,-126.691753360585
13,-158.666428758902
13.5,-221.866709436292
14,-283.181305521553
14.5,-393.496319441036
15,-509.193951617969
15.5,-575.863182817813
16,-580.52226854829
16.5,-593.521472052299
17,-604.450641715944
17.5,-606.630290695951
18,-604.474072766083
18.5,-603.402563928266
19,-602.331123755458
19.5,-601.260963712206
20,-600.192025679525
20.5,-599.124255703062
21,-598.057602366045
21.5,-596.992016662025
22,-595.92745187307
22.5,-594.863863454725
23,-608.678372311069
23.5,-650.809737171065
24,-660.868700112598
24.5,-656.556125802277
25,-651.255084142202
25.5,-625.866859931544
26,-590.748447362448
26.5,-579.535401515091
27,-579.535401515091
27.5,-579.535401515091
28,-579.535401515091
28.5,-579.535401515091
29,-579.535401515091
29.5,-579.535401515091
30,-579.535401515091
30.5,-579.535401515091
31,-579.535401515091
31.5,-579.535401515091
32,-579.535401515091
32.5,-579.535401515091
33,-579.535401515091
33.5,-579.535401515091
34,-579.535401515091
34.5,-579.535401515091
35,-579.535401515091
35.5,-579.535401515091
36,-579.535401515091
36.5,-579.535401515091
37,-579.535401515091
37.5,-579.535401515091
38,-579.535401515091
38.5,-579.535401515091
39,-579.535401515091
39.5,-579.535401515091
40,-579.535401515091
40.5,-579.535401515091
41,-579.535401515091
41.5,-579.535401515091
42,-579.535401515091
42.5,-579.535401515091
43,-579.535401515091
43.5,-579.535401515091
44,-579.535401515091
44.5,-579.535401515091
45,-579.535401515091
45.5,-579.535401515091
46,-579.535401515091
46.5,-579.535401515091
47,-579.535401515091
47.5,-579.535401515091
48,-579.535401515091
48.5,-579.535401515091
49,-579.535401515091
49.5,-579.535401515091
50,-579.535401515091
50.5,-683.101030451187
51,-728.186185371806
51.5,-739.290665504386
52,-781.016122650422
52.5,-816.520283245501
53,-839.704841501004
53.5,-872.410610410344
54,-949.666346264651
54.5,-1029.04405651044
55,-1105.47072171779
55.5,-1187.84359876196
56,-1273.55931528287
56.5,-1272.35861079276
57,-1277.79453810701
57.5,-1383.87470343594
58,-1465.2935605198
58.5,-1535.02840347857
59,-1607.60095991453
59.5,-1684.22698541926
60,-1763.87159309622
60.5,-1845.2674643496
61,-1909.99035062444
61.5,-1961.61756596114
62,-1969.90922906215
62.5,-1969.90922906215
63,-1988.88747730733
63.5,-1999.12063500158
64,-1996.87080118438
64.5,-1994.65480823409
65,-1991.33854811876
65.5,-1990.23689602217
66,-1990.23689602217
66.5,-1990.23689602217
67,-1991.33598738148
67.5,-1994.63164712818
68,-1997.93007886362
68.5,-2001.22432731255
69,-2004.51459107743
69.5,-2007.80107898786
70,-2011.08398756433
70.5,-2014.36350175015
71,-2017.63979566289
71.5,-2020.91303329373
72,-2024.18336018646
72.5,-2027.45091311646
73,-2030.71582944272
73.5,-2033.97823860163
74,-2037.23826259955
74.5,-2040.49601649737
75,-2043.75160886074
75.5,-2047.00514217854
76,-2050.25671325191
76.5,-2053.50641355619
77,-2056.75432957765
77.5,-2060.00054312697
78,-2063.24513163116
78.5,-2066.48816840552
79,-2069.72972290706
79.5,-2072.9698609708
80,-2076.20864503011
80.5,-2079.4461343223
81,-2082.6823850805
81.5,-2085.91745071276
82,-2089.15138196938
82.5,-2092.3842270992
83,-2095.61603199566
83.5,-2098.84684033341
84,-2099.92345812093
84.5,-2100.99732656097
85,-2096.70365672833
85.5,-2114.84174647472
86,-2085.36203204282
86.5,-2043.78148972417
87,-1974.12258927628
87.5,-1962.20260565874
88,-1918.20262030235
88.5,-1911.10880785486
89,-1911.10880785486
89.5,-1882.59080119767
90,-1852.83522041663
