U_Batterie [V],Zeit [s]
46.800000000000004,0.0
48.107800000000005,0.5
48.107800000000005,1.0
48.107800000000005,1.5
48.107800000000005,2.0
48.107800000000005,2.5
48.107800000000005,3.0
48.107800000000005,3.5
48.107800000000005,4.0
48.107800000000005,4.5
48.107800000000005,5.0
48.107800000000005,5.5
48.107800000000005,6.0
48.107800000000005,6.5
48.107800000000005,7.0
48.107800000000005,7.5
48.107800000000005,8.0
48.107800000000005,8.5
48.107800000000005,9.0
48.107800000000005,9.5
48.107800000000005,10.0
48.107800000000005,10.5
48.107800000000005,11.0
48.107800000000005,11.5
46.6016442360395,12.0
41.87717004993591,12.5
45.780004489233505,13.0
43.83603166813331,13.5
43.77096306115994,14.0
40.69408194005845,14.5
40.10095890308819,15.0
42.7216424882868,15.5
46.19276318607956,16.0
45.75844446577663,16.5
45.89392306719222,17.0
46.41980125173115,17.5
46.71746499722951,18.0
46.7147102147755,18.5
46.76847999270412,19.0
46.819918413477154,19.5
46.86919606016038,20.0
46.91640578086196,20.5
46.96163649247951,21.0
47.00497325891177,21.5
47.04649745473413,22.0
47.08628692260336,22.5
46.2693054159892,23.0
44.6294617269164,23.5
46.375760151922144,24.0
47.207674091448204,24.5
47.31407006137673,25.0
48.51728039728096,25.5
49.18351285268554,26.0
47.95155653704205,26.5
47.368440673349994,27.0
47.38913399139767,27.5
47.408964318387476,28.0
47.42796826515648,28.5
47.44618086402602,29.0
47.46363563768088,29.5
47.480364665046174,30.0
47.49639864428766,30.5
47.51176695305663,31.0
47.52649770609625,31.5
47.540617810322004,32.0
47.554153017484644,32.5
47.56712797451978,33.0
47.57956627168437,33.5
47.59149048857625,34.0
47.6029222381289,34.5
47.613882208670184,35.0
47.62439020412972,35.5
47.6344651824763,36.0
47.644125292463336,36.5
47.65338790875679,37.0
47.662269665517165,37.5
47.670786488503744,38.0
47.67895362576658,38.5
47.6867856769888,39.0
47.69429662153896,39.5
47.701499845290705,40.0
47.7084081662645,40.5
47.71503385914353,41.0
47.72138867871401,41.5
47.72748388227741,42.0
47.733330251080325,42.5
47.73893811080576,43.0
47.74431735116721,43.5
47.749477444645656,44.0
47.754427464407236,44.5
47.75917610143816,45.0
47.763731680931514,45.5
47.76810217795895,46.0
47.77229523245928,46.5
47.77631816357392,47.0
47.78017798335828,47.5
47.78388140989661,48.0
47.787434879846785,48.5
47.79084456044014,49.0
47.79411636096042,49.5
47.7972559437249,50.0
41.80905218758118,50.5
44.874523107779645,51.0
46.713369650800715,51.5
44.94726866920236,52.0
45.19089010996297,52.5
45.81078372324342,53.0
45.222966241711795,53.5
42.605363249929866,54.0
42.28166287225842,54.5
42.26310847258941,55.0
41.7603432904782,55.5
41.39748483322618,56.0
46.05777817781013,56.5
45.76346068076107,57.0
40.256732797467016,57.5
41.366586587422134,58.0
41.86117382071959,58.5
41.5962026038072,59.0
41.26101684956829,59.5
40.97891352699869,60.0
40.765782185127165,60.5
41.52937916414592,61.0
42.14787145427995,61.5
44.37292814783883,62.0
44.891283287561755,62.5
44.01538510200779,63.0
44.511789605689295,63.5
45.22540440091255,64.0
45.32518500769624,64.5
45.47830723096298,65.0
45.45886995044268,65.5
45.48541424987801,66.0
45.5612388584484,66.5
45.57658066271802,67.0
45.52837517220305,67.5
45.583334681720096,68.0
45.635880483929384,68.5
45.68579630687466,69.0
45.73322867515012,69.5
45.778557022513844,70.0
45.821665199755806,70.5
45.86267670637966,71.0
45.90170828375898,71.5
45.93886953639428,72.0
45.97426338036644,72.5
46.007986466838446,73.0
46.04012957916228,73.5
46.07077800506189,74.0
46.10001188532269,74.5
46.12790654036367,75.0
46.15453277600895,75.5
46.1799571697155,76.0
46.20424233845241,76.5
46.2274471893659,77.0
46.249627154303866,77.5
46.27083440921487,78.0
46.29111807937891,78.5
46.31052443137217,79.0
46.32909705261464,79.5
46.34687701929877,80.0
46.36390305344858,80.5
46.380211669812816,81.0
46.39583731325183,81.5
46.410812487236434,82.0
46.425167874038266,82.5
46.43893244715358,83.0
46.45213357646872,83.5
46.57715853935029,84.0
46.59596153303865,84.5
46.8942177896278,85.0
45.75560093956125,85.5
48.21032370210875,86.0
48.94580013546451,86.5
50.54842218737931,87.0
47.75711796714496,87.5
49.46928130329289,88.0
47.67894496378527,88.5
47.32624671921405,89.0
48.808823295642036,89.5
48.95280126900991,90.0
48.87110739375071,90.5
49.1038894777648,91.0
47.63251278548417,91.5
46.79357720228231,92.0
48.55677202218161,92.5
48.51329610810339,93.0
48.23080815526353,93.5
48.63366957882895,94.0
48.82885381001794,94.5
49.356240059588224,95.0
47.82373074491802,95.5
47.80238857091511,96.0
47.78226302004857,96.5
47.76328190767981,97.0
47.745377417334645,97.5
47.72848583541087,98.0
47.71254730166534,98.5
47.69750557462072,99.0
47.68330781106415,99.5
47.66990435884315,100.0
47.65724856219897,100.5
47.64529657891239,101.0
47.63400720857233,101.5
47.623341731312266,102.0
47.613263756393344,102.5
47.60373908004649,103.0
47.5947355520178,103.5
47.58622295029221,104.0
47.578172863500505,104.5
47.570558580542794,105.0
47.563354986988756,105.5
47.55653846784074,106.0
47.55008681627016,106.5
47.543979147961004,107.0
47.538195820716005,107.5
47.532718359001734,108.0
47.52752938312885,108.5
47.522612542781644,109.0
47.51795245462894,109.5
47.513534643764395,110.0
47.509345488740024,110.5
47.50537216997104,111.0
47.501602621303896,111.5
47.49802548455218,112.0
47.494630066817116,112.5
47.491406300420685,113.0
47.48834470529011,113.5
47.48543635364235,114.0
47.482672836826616,114.5
47.480046234191825,115.0
47.477549083854036,115.5
47.47517435524673,116.0
47.41639763381393,116.5
47.467512567757254,117.0
47.46559702476325,117.5
47.463772889945645,118.0
41.85261848202594,118.5
45.29298230934458,119.0
46.3375032477362,119.5
45.179030286970104,120.0
45.21953906640343,120.5
45.78930457884571,121.0
45.473622694365474,121.5
44.59322971738046,122.0
43.26712202030105,122.5
44.59957064621074,123.0
44.881622383759755,123.5
45.01907422962437,124.0
44.98657462447083,124.5
46.297689462302934,125.0
44.973987229349845,125.5
45.36476718427395,126.0
45.01183495364387,126.5
44.97002460555979,127.0
44.64438233994843,127.5
43.28786379325015,128.0
44.113152552346264,128.5
45.09880215160497,129.0
45.06029790824713,129.5
44.998677777852805,130.0
44.99085863043162,130.5
44.925642244447744,131.0
44.9137376724665,131.5
44.377748326851794,132.0
43.90464009661296,132.5
45.24893272976415,133.0
45.86449547051032,133.5
42.60949972204787,134.0
42.40644764262867,134.5
