Batterie Ladung [C],Zeit [s]
0.0,0.0
0.0,0.5
0.0,1.0
0.0,1.5
0.0,2.0
0.0,2.5
0.0,3.0
0.0,3.5
0.0,4.0
0.0,4.5
0.0,5.0
0.0,5.5
0.0,6.0
0.0,6.5
0.0,7.0
0.0,7.5
0.0,8.0
0.0,8.5
0.0,9.0
0.0,9.5
0.0,10.0
0.0,10.5
0.0,11.0
0.0,11.5
-25.64102564102564,12.0
-127.13675213675212,12.5
-155.98290598290598,13.0
-217.94871794871793,13.5
-275.64102564102564,14.0
-379.2735042735043,14.5
-480.7692307692308,15.0
-538.4615384615385,15.5
-542.7350427350427,16.0
-555.5555555555555,16.5
-566.2393162393163,17.0
-568.3760683760685,17.5
-566.2393162393163,18.0
-565.1709401709402,18.5
-564.1025641025641,19.0
-563.034188034188,19.5
-561.9658119658119,20.0
-560.8974358974358,20.5
-559.8290598290597,21.0
-558.7606837606836,21.5
-557.6923076923075,22.0
-556.6239316239314,22.5
-570.5128205128203,23.0
-612.179487179487,23.5
-621.7948717948716,24.0
-617.5213675213673,24.5
-612.179487179487,25.0
-586.5384615384613,25.5
-550.213675213675,26.0
-538.4615384615382,26.5
-538.4615384615382,27.0
-538.4615384615382,27.5
-538.4615384615382,28.0
-538.4615384615382,28.5
-538.4615384615382,29.0
-538.4615384615382,29.5
-538.4615384615382,30.0
-538.4615384615382,30.5
-538.4615384615382,31.0
-538.4615384615382,31.5
-538.4615384615382,32.0
-538.4615384615382,32.5
-538.4615384615382,33.0
-538.4615384615382,33.5
-538.4615384615382,34.0
-538.4615384615382,34.5
-538.4615384615382,35.0
-538.4615384615382,35.5
-538.4615384615382,36.0
-538.4615384615382,36.5
-538.4615384615382,37.0
-538.4615384615382,37.5
-538.4615384615382,38.0
-538.4615384615382,38.5
-538.4615384615382,39.0
-538.4615384615382,39.5
-538.4615384615382,40.0
-538.4615384615382,40.5
-538.4615384615382,41.0
-538.4615384615382,41.5
-538.4615384615382,42.0
-538.4615384615382,42.5
-538.4615384615382,43.0
-538.4615384615382,43.5
-538.4615384615382,44.0
-538.4615384615382,44.5
-538.4615384615382,45.0
-538.4615384615382,45.5
-538.4615384615382,46.0
-538.4615384615382,46.5
-538.4615384615382,47.0
-538.4615384615382,47.5
-538.4615384615382,48.0
-538.4615384615382,48.5
-538.4615384615382,49.0
-538.4615384615382,49.5
-538.4615384615382,50.0
-644.2307692307689,50.5
-684.8290598290596,51.0
-695.5128205128203,51.5
-737.179487179487,52.0
-771.3675213675211,52.5
-793.8034188034186,53.0
-825.8547008547007,53.5
-900.6410256410255,54.0
-973.2905982905982,54.5
-1042.7350427350425,55.0
-1117.5213675213672,55.5
-1194.4444444444441,56.0
-1193.3760683760681,56.5
-1198.7179487179485,57.0
-1302.350427350427,57.5
-1372.8632478632476,58.0
-1434.8290598290596,58.5
-1499.9999999999998,59.0
-1568.3760683760681,59.5
-1638.8888888888887,60.0
-1710.4700854700852,60.5
-1767.0940170940169,61.0
-1813.0341880341878,61.5
-1820.5128205128203,62.0
-1820.5128205128203,62.5
-1838.6752136752134,63.0
-1848.290598290598,63.5
-1846.1538461538457,64.0
-1844.0170940170935,64.5
-1840.8119658119654,65.0
-1839.7435897435894,65.5
-1839.7435897435894,66.0
-1839.7435897435894,66.5
-1840.8119658119654,67.0
-1844.0170940170935,67.5
-1847.2222222222217,68.0
-1850.42735042735,68.5
-1853.632478632478,69.0
-1856.8376068376062,69.5
-1860.0427350427344,70.0
-1863.2478632478626,70.5
-1866.4529914529908,71.0
-1869.658119658119,71.5
-1872.8632478632471,72.0
-1876.0683760683753,72.5
-1879.2735042735035,73.0
-1882.4786324786317,73.5
-1885.6837606837598,74.0
-1888.888888888888,74.5
-1892.0940170940162,75.0
-1895.2991452991444,75.5
-1898.5042735042725,76.0
-1901.7094017094007,76.5
-1904.9145299145289,77.0
-1908.119658119657,77.5
-1911.3247863247852,78.0
-1914.5299145299134,78.5
-1917.7350427350416,79.0
-1920.9401709401698,79.5
-1924.145299145298,80.0
-1927.3504273504261,80.5
-1930.5555555555543,81.0
-1933.7606837606825,81.5
-1936.9658119658106,82.0
-1940.1709401709388,82.5
-1943.376068376067,83.0
-1946.5811965811952,83.5
-1947.6495726495712,84.0
-1948.7179487179471,84.5
-1944.4444444444428,85.0
-1962.6068376068358,85.5
-1933.760683760682,86.0
-1891.0256410256393,86.5
-1818.3760683760665,87.0
-1805.5555555555536,87.5
-1760.6837606837587,88.0
-1753.2051282051261,88.5
-1753.2051282051261,89.0
-1724.3589743589723,89.5
-1693.3760683760663,90.0
-1665.5982905982885,90.5
-1634.6153846153825,91.0
-1634.6153846153825,91.5
-1650.6410256410236,92.0
-1631.4102564102543,92.5
-1613.2478632478612,93.0
-1601.4957264957245,93.5
-1582.2649572649552,94.0
-1559.8290598290578,94.5
-1527.7777777777758,95.0
-1527.7777777777758,95.5
-1527.7777777777758,96.0
-1527.7777777777758,96.5
-1527.7777777777758,97.0
-1527.7777777777758,97.5
-1527.7777777777758,98.0
-1527.7777777777758,98.5
-1527.7777777777758,99.0
-1527.7777777777758,99.5
-1527.7777777777758,100.0
-1527.7777777777758,100.5
-1527.7777777777758,101.0
-1527.7777777777758,101.5
-1527.7777777777758,102.0
-1527.7777777777758,102.5
-1527.7777777777758,103.0
-1527.7777777777758,103.5
-1527.7777777777758,104.0
-1527.7777777777758,104.5
-1527.7777777777758,105.0
-1527.7777777777758,105.5
-1527.7777777777758,106.0
-1527.7777777777758,106.5
-1527.7777777777758,107.0
-1527.7777777777758,107.5
-1527.7777777777758,108.0
-1527.7777777777758,108.5
-1527.7777777777758,109.0
-1527.7777777777758,109.5
-1527.7777777777758,110.0
-1527.7777777777758,110.5
-1527.7777777777758,111.0
-1527.7777777777758,111.5
-1527.7777777777758,112.0
-1527.7777777777758,112.5
-1527.7777777777758,113.0
-1527.7777777777758,113.5
-1527.7777777777758,114.0
-1527.7777777777758,114.5
-1527.7777777777758,115.0
-1527.7777777777758,115.5
-1527.7777777777758,116.0
